filename,transcript,romanized
NP_000.wav,यो नेपाली भ्वाइस एआई परियोजनाको परीक्षण रेकर्डिङ हो।,Yō nēpālī bhvā'isa ē'ā'ī pariyōjanākō parīkṣaṇa rēkarḍiṅa hō.
NP_001.wav,नमस्कार,Namaskar
NP_002.wav,नमस्ते,Namaste
NP_003.wav,नमस्ते कस्तो छ?,Namaste Kasto Cha
NP_004.wav,नमस्कार सबै ठीक छ?,Namskar Sabaie Thik Cha
NP_005.wav,हेल्लो,Hello
NP_006.wav,हेल्लो के छ खबर?,Hello Ke cha khabar
NP_007.wav,के छ?,Ke Cha
NP_008.wav,के हुँदैछ?,Ke hundai cha
NP_009.wav,के खबर?,Ke khabar
NP_010.wav,सबै ठीक छ?,sabaie thik cha
NP_011.wav,शुभ प्रभात,subha prabhat
NP_012.wav,शुभ बिहानी,subha bihani
NP_013.wav,शुभ दिन,subha din
NP_014.wav,शुभ अपरान्ह,subha aparaahn
NP_015.wav,शुभ साँझ,subha sanjh
NP_016.wav,शुभ रात्रि,subha ratri
NP_017.wav,आजको दिन शुभ रहोस्,aja ko din sbuha rahos
NP_018.wav,शुभ बिहानी होस्,subha bihani hos
NP_019.wav,रमाइलो साँझ,ramailo sanjh
NP_020.wav,आरामसँग सुत्नुहोस्,aramsanga sutnuhos
NP_021.wav,के छ यार?,ke cha yaar
NP_022.wav,कस्तो छ जिन्दगी?,kasto cha jindagi
NP_023.wav,धेरै दिनपछि भेट भयो,dherai din pachi bhet bhayo
NP_024.wav,तिमी ठीक छौ?,timi thik chau
NP_025.wav,आज राम्रो देखिन्छौ,aja ramro dekhinchhau
NP_026.wav,सबै ठिकै छ नि?,sabai thikai cha ni
NP_027.wav,कस्तो चल्दैछ?,kaso chaldai cha
NP_028.wav,मज्जाले छ?,mazza lae cha
NP_029.wav,के गर्दैछौ?,ke gardai chau
NP_030.wav,आज के प्लान छ?,aja ke plan cha
NP_031.wav,तपाईंलाई भेटेर खुशी लाग्यो,tapailaie bhetera khusi lagyo
NP_032.wav,तपाईं कस्तो हुनुहुन्छ?,tapai kasto hunhuncha
NP_033.wav,सबै कुरा राम्रो छ?,sabaie kura thik cha
NP_034.wav,आशा छ तपाईं ठीक हुनुहुन्छ,asha cha tapaie thik hunuhuncha
NP_035.wav,स्वागत छ,swagat cha
NP_036.wav,यहाँ आउनुभएकोमा धन्यवाद,yehan aunu bhayeko ma dhanyabad
NP_037.wav,भेट भएर खुशी लाग्यो,bhe bhayera khusi lagyo
NP_038.wav,तपाईंको दिन शुभ रहोस्,tamaiko din subha rahos
NP_039.wav,कृपया बस्नुहोस्,kripaya basnuhos
NP_040.wav,आरामसँग आउनुहोस्,aramasanga aunuhos
NP_041.wav,ल के छ त?,la ke cha ta
NP_042.wav,हैन के छ खबर?,haina ke cha khabar
NP_043.wav,आज त राम्रो मौसम छ है,aja ta ramro mausam cha hai
NP_044.wav,धेरै समयपछि हो,dherai samaya pachi ho
NP_045.wav,तिमी यहाँ?,timi yenha
NP_046.wav,सबै ठीकठाक छ?,sabai thikthak cha
NP_047.wav,आज कस्तो दिन छ?,aja kasto din cha
NP_048.wav,के नयाँ छ?,ke naya cha
NP_049.wav,मज्जाले बित्दैछ?,mazzalae bidtaicha
NP_050.wav,ल भेट भयो नि!,la bhet bhayo ni
