filename,transcript,romanized
NP_000.wav,यो नेपाली भ्वाइस एआई परियोजनाको परीक्षण रेकर्डिङ हो।,Yō nēpālī bhvā'isa ē'ā'ī pariyōjanākō parīkṣaṇa rēkarḍiṅa hō.
NP_001.wav,नमस्कार,Namaskar
NP_002.wav,नमस्ते,Namaste
NP_003.wav,नमस्ते कस्तो छ?,Namaste Kasto Cha
NP_004.wav,नमस्कार सबै ठीक छ?,Namskar Sabaie Thik Cha
NP_005.wav,हेल्लो,Hello
NP_006.wav,हेल्लो के छ खबर?,Hello Ke cha khabar
NP_007.wav,के छ?,Ke Cha
NP_008.wav,के हुँदैछ?,Ke hundai cha
NP_009.wav,के खबर?,Ke khabar
NP_010.wav,सबै ठीक छ?,sabaie thik cha
NP_011.wav,शुभ प्रभात,subha prabhat
NP_012.wav,शुभ बिहानी,subha bihani
NP_013.wav,शुभ दिन,subha din
NP_014.wav,शुभ अपरान्ह,subha aparaahn
NP_015.wav,शुभ साँझ,subha sanjh
NP_016.wav,शुभ रात्रि,subha ratri
NP_017.wav,आजको दिन शुभ रहोस्,aja ko din sbuha rahos
NP_018.wav,शुभ बिहानी होस्,subha bihani hos
NP_019.wav,रमाइलो साँझ,ramailo sanjh
NP_020.wav,आरामसँग सुत्नुहोस्,aramsanga sutnuhos
NP_021.wav,के छ यार?,ke cha yaar
NP_022.wav,कस्तो छ जिन्दगी?,kasto cha jindagi
NP_023.wav,धेरै दिनपछि भेट भयो,dherai din pachi bhet bhayo
NP_024.wav,तिमी ठीक छौ?,timi thik chau
NP_025.wav,आज राम्रो देखिन्छौ,aja ramro dekhinchhau
NP_026.wav,सबै ठिकै छ नि?,sabai thikai cha ni
NP_027.wav,कस्तो चल्दैछ?,kaso chaldai cha
NP_028.wav,मज्जाले छ?,mazza lae cha
NP_029.wav,के गर्दैछौ?,ke gardai chau
NP_030.wav,आज के प्लान छ?,aja ke plan cha
NP_031.wav,तपाईंलाई भेटेर खुशी लाग्यो,tapailaie bhetera khusi lagyo
NP_032.wav,तपाईं कस्तो हुनुहुन्छ?,tapai kasto hunhuncha
NP_033.wav,सबै कुरा राम्रो छ?,sabaie kura thik cha
NP_034.wav,आशा छ तपाईं ठीक हुनुहुन्छ,asha cha tapaie thik hunuhuncha
NP_035.wav,स्वागत छ,swagat cha
NP_036.wav,यहाँ आउनुभएकोमा धन्यवाद,yehan aunu bhayeko ma dhanyabad
NP_037.wav,भेट भएर खुशी लाग्यो,bhe bhayera khusi lagyo
NP_038.wav,तपाईंको दिन शुभ रहोस्,tamaiko din subha rahos
NP_039.wav,कृपया बस्नुहोस्,kripaya basnuhos
NP_040.wav,आरामसँग आउनुहोस्,aramasanga aunuhos
NP_041.wav,ल के छ त?,la ke cha ta
NP_042.wav,हैन के छ खबर?,haina ke cha khabar
NP_043.wav,आज त राम्रो मौसम छ है,aja ta ramro mausam cha hai
NP_044.wav,धेरै समयपछि हो,dherai samaya pachi ho
NP_045.wav,तिमी यहाँ?,timi yenha
NP_046.wav,सबै ठीकठाक छ?,sabai thikthak cha
NP_047.wav,आज कस्तो दिन छ?,aja kasto din cha
NP_048.wav,के नयाँ छ?,ke naya cha
NP_049.wav,मज्जाले बित्दैछ?,mazzalae bidtaicha
NP_050.wav,ल भेट भयो नि!,la bhet bhayo ni
NP_051.wav,आज तपाईंको दिन कस्तो भयो?,Aja tapaaiko din kasto bhayo?
NP_052.wav,आज बिहान कति बजे उठ्नुभयो?,Aja bihaan kati baje uthnubhayou?
NP_053.wav,आज काममा व्यस्त हुनु भयो?,Aja kaam ma byasta hunu bhayo?
NP_054.wav,आज दिनभर के गर्नुभयो?,Aja dinbhar ke garnubhayou?
NP_055.wav,आज ट्राफिक धेरै थियो नि.,Aja traffic dherai thiyo ni.
NP_056.wav,अहिले तपाईं कहाँ हुनुहुन्छ?,Ahile tapaaein kahaa hunuhunchha?
NP_057.wav,तपाईं काठमाडौंमा बस्नुहुन्छ?,Tapaaein Kathmandu ma basnuhunchha?
NP_058.wav,तपाईं अहिले के काम गर्नुहुन्छ?,Tapaaein ahile ke kaam garnuhunchha?
NP_059.wav,आज मौसम निकै राम्रो छ.,Aja mausam nikai ramro chha.
NP_060.wav,बाहिर पानी परिराखेको छ.,Baahira paani parirahekeko chha.
NP_061.wav,हामी पछि हिंड्न जाने हो?,Haami pachhi hindna jaane ho?
NP_062.wav,आज बेलुकी भेटेर कुरा गरौँला.,Aja beluki bhetera kura garaula.
NP_063.wav,भोलि बिहान चिया खाने प्लान छ.,Bholi bihaan chiya khaane plan chha.
NP_064.wav,तपाईंलाई कस्तो खाना मन पर्छ?,Tapaaeinlai kasto khaana man parchha?
NP_065.wav,मलाई दाल भात धेरै मन पर्छ.,Malai daal bhaat dherai man parchha.
NP_066.wav,आज तपाईंले खाना खाइसक्नुभयो?,Aja tapaaeinle khaana khaisaknubhayou?
NP_067.wav,तपाईंलाई तातो चिया मन पर्छ कि कफी?,Tapaaeinlai taato chiya man parchha ki coffee?
NP_068.wav,आज बजार जानुभएको थियो?,Aja bazaar jaanubhayo thiyo?
NP_069.wav,आज कतिबेला office बाट फर्कनुभयो?,Aja kati bela office baat farknubhayou?
NP_070.wav,आज धेरै थकाइ लाग्यो कि ठिकै छ?,Aja dherai thakaai laagyo ki thikai chha?
NP_071.wav,तपाईं आज घरमै काम गर्नुभयो?,Tapaaein aja gharmai kaam garnubhayou?
NP_072.wav,इंटरनेट अहिले राम्रो चलिरहेको छ?,Internet ahile ramro chalirahaeko chha?
NP_073.wav,आज मीटिङ कति बजे सकियो?,Aja meeting kati baje sakiyo?
NP_074.wav,आज दिनभर कम्प्युटर अगाडि बस्नुपर्‍यो.,Aja dinbhar computer agadi basnu paryo.
NP_075.wav,आँखा अलि थाक्यो जस्तो भयो.,Aankha ali thakyo jasto bhayo.
NP_076.wav,आज अलि आराम गर्न पाए राम्रो हुन्थ्यो.,Aja ali aaraam garn paae ramro hunthyo.
