filename,transcript,romanized
NP_001.wav,नमस्कार,Namaskar
NP_002.wav,नमस्ते,Namaste
NP_011.wav,शुभ प्रभात,subha prabhat
NP_012.wav,शुभ बिहानी,subha bihani
NP_013.wav,शुभ दिन,subha din
NP_016.wav,शुभ रात्रि,subha ratri
NP_018.wav,शुभ बिहानी होस्,subha bihani hos
NP_102.wav,दुई,dui
NP_107.wav,बीस,bis
NP_112.wav,सोमबार,sombar
NP_113.wav,बुधबार,budhbar
NP_118.wav,मार्च,march
NP_119.wav,अप्रिल,april
NP_121.wav,बुबा,buba
NP_122.wav,आमा,aama
NP_123.wav,दिदी,didi
NP_126.wav,बहिनी,bahini
NP_129.wav,अस्पताल,aspataal
NP_133.wav,विमान,biman
NP_137.wav,नमस्कार,Namaskar
NP_150.wav,शुभरात्रि,shubharatri
