filename,type,transcript,romanized
NP_051.wav,sentence,आज तपाईंको दिन कस्तो भयो?,Aja tapaaiko din kasto bhayo?
NP_052.wav,sentence,आज बिहान कति बजे उठ्नुभयो?,Aja bihaan kati baje uthnubhayou?
NP_053.wav,sentence,आज काममा व्यस्त हुनु भयो?,Aja kaam ma byasta hunu bhayo?
NP_054.wav,sentence,आज दिनभर के गर्नुभयो?,Aja dinbhar ke garnubhayou?
NP_055.wav,sentence,आज ट्राफिक धेरै थियो नि.,Aja traffic dherai thiyo ni.
NP_056.wav,sentence,अहिले तपाईं कहाँ हुनुहुन्छ?,Ahile tapaaein kahaa hunuhunchha?
NP_057.wav,sentence,तपाईं काठमाडौंमा बस्नुहुन्छ?,Tapaaein Kathmandu ma basnuhunchha?
NP_058.wav,sentence,तपाईं अहिले के काम गर्नुहुन्छ?,Tapaaein ahile ke kaam garnuhunchha?
NP_059.wav,sentence,आज मौसम निकै राम्रो छ.,Aja mausam nikai ramro chha.
NP_060.wav,sentence,बाहिर पानी परिराखेको छ.,Baahira paani parirahekeko chha.
NP_061.wav,sentence,हामी पछि हिंड्न जाने हो?,Haami pachhi hindna jaane ho?
NP_062.wav,sentence,आज बेलुकी भेटेर कुरा गरौँला.,Aja beluki bhetera kura garaula.
NP_063.wav,sentence,भोलि बिहान चिया खाने प्लान छ.,Bholi bihaan chiya khaane plan chha.
NP_064.wav,sentence,तपाईंलाई कस्तो खाना मन पर्छ?,Tapaaeinlai kasto khaana man parchha?
NP_065.wav,sentence,मलाई दाल भात धेरै मन पर्छ.,Malai daal bhaat dherai man parchha.
NP_066.wav,sentence,आज तपाईंले खाना खाइसक्नुभयो?,Aja tapaaeinle khaana khaisaknubhayou?
NP_067.wav,sentence,तपाईंलाई तातो चिया मन पर्छ कि कफी?,Tapaaeinlai taato chiya man parchha ki coffee?
NP_068.wav,sentence,आज बजार जानुभएको थियो?,Aja bazaar jaanubhayo thiyo?
NP_069.wav,sentence,आज कतिबेला office बाट फर्कनुभयो?,Aja kati bela office baat farknubhayou?
NP_070.wav,sentence,आज धेरै थकाइ लाग्यो कि ठिकै छ?,Aja dherai thakaai laagyo ki thikai chha?
NP_071.wav,sentence,तपाईं आज घरमै काम गर्नुभयो?,Tapaaein aja gharmai kaam garnubhayou?
NP_072.wav,sentence,इंटरनेट अहिले राम्रो चलिरहेको छ?,Internet ahile ramro chalirahaeko chha?
NP_073.wav,sentence,आज मीटिङ कति बजे सकियो?,Aja meeting kati baje sakiyo?
NP_074.wav,sentence,आज दिनभर कम्प्युटर अगाडि बस्नुपर्‍यो.,Aja dinbhar computer agadi basnu paryo.
NP_075.wav,sentence,आँखा अलि थाक्यो जस्तो भयो.,Aankha ali thakyo jasto bhayo.
NP_076.wav,sentence,आज अलि आराम गर्न पाए राम्रो हुन्थ्यो.,Aja ali aaraam garn paae ramro hunthyo.
NP_077.wav,sentence,भोलि छुट्टी छ कि काम छ?,Bholi chutti chha ki kaam chha?
NP_078.wav,sentence,तपाईंले भोलिको लागि के प्लान गर्नु भएको छ?,Tapaaeinle bholiko lagi ke plan garnu bhayeko chha?
NP_079.wav,sentence,आज नयाँ कुरा सिक्नुभयो?,Aja naya kura siknubhayou?
NP_080.wav,sentence,आज दिन कस्तो बित्यो नि?,Aja din kasto bityo ni?
NP_081.wav,sentence,तपाईंलाई नेपाली बोल्दा कति सजिलो लाग्छ?,Tapaaeinlai Nepali bolda kati sajilo laagchha?
